symbol,isin,name,currency,size,domicile,exchange,instrument,ter,ticker,wkn
DE000A0S9GB0,DE000A0S9GB0,Xetra-Gold,EUR,20612.0,Germany,"gettex, XETRA, Stuttgart",ETC,0.0,4GLD,A0S9GB
IE00B53SZB19,IE00B53SZB19,iShares Nasdaq 100 UCITS ETF (Acc),USD,18687.0,Ireland,"gettex, XETRA, London, Stuttgart, SIX Swiss Exchange, Borsa Italiana, Euronext Amsterdam",ETF,0.3,SXRV,A0YEDL
IE00B3RBWM25,IE00B3RBWM25,Vanguard FTSE All-World UCITS ETF (USD) Distributing,USD,18496.0,Ireland,"gettex, XETRA, London, Euronext Paris, Stuttgart, SIX Swiss Exchange, Borsa Italiana, Euronext Amsterdam",ETF,0.19,VGWL,A1JX52
LU0290358497,LU0290358497,Xtrackers II EUR Overnight Rate Swap UCITS ETF 1C,EUR,18343.0,Luxembourg,"gettex, XETRA, Stuttgart, SIX Swiss Exchange, Borsa Italiana",ETF,0.1,XEON,DBX0AN
IE0031442068,IE0031442068,iShares Core S&P 500 UCITS ETF USD (Dist),USD,17290.0,Ireland,"gettex, XETRA, London, Stuttgart, SIX Swiss Exchange, Borsa Italiana, Euronext Amsterdam",ETF,0.07,IUSA,622391
IE00BJ0KDQ92,IE00BJ0KDQ92,Xtrackers MSCI World UCITS ETF 1C,USD,15945.0,Ireland,"gettex, XETRA, London, Stuttgart, SIX Swiss Exchange, Borsa Italiana",ETF,0.12,XDWD,A1XB5U
IE0005042456,IE0005042456,iShares Core FTSE 100 UCITS ETF GBP (Dist),GBP,15745.0,Ireland,"gettex, XETRA, London, Stuttgart, SIX Swiss Exchange, Borsa Italiana, Euronext Amsterdam",ETF,0.07,IUSZ,552752
IE00BGSF1X88,IE00BGSF1X88,iShares USD Treasury Bond 0-1yr UCITS ETF (Acc),USD,15239.0,Ireland,"gettex, London, SIX Swiss Exchange",ETF,0.07,IBC1,A2PBNP
IE00B6YX5C33,IE00B6YX5C33,SPDR S&P 500 UCITS ETF (Dist),USD,15146.0,Ireland,"gettex, XETRA, London, Euronext Paris, Stuttgart, SIX Swiss Exchange, Borsa Italiana",ETF,0.03,SPY5,A1JULM
LU0908500753,LU0908500753,Amundi Core Stoxx Europe 600 UCITS ETF Acc,EUR,14677.0,Luxembourg,"gettex, XETRA, London, Euronext Paris, Stuttgart, Borsa Italiana",ETF,0.07,LYP6,LYX0Q0
IE00BFNM3G45,IE00BFNM3G45,iShares MSCI USA Screened UCITS ETF USD (Acc),USD,13789.0,Ireland,"gettex, XETRA, London, Stuttgart, SIX Swiss Exchange",ETF,0.07,SGAS,A2N6TB
IE00B4K48X80,IE00B4K48X80,iShares Core MSCI Europe UCITS ETF EUR (Acc),EUR,13777.0,Ireland,"gettex, XETRA, London, Stuttgart, SIX Swiss Exchange, Borsa Italiana, Euronext Amsterdam",ETF,0.12,EUNK,A0RPWG
IE00BFY0GT14,IE00BFY0GT14,SPDR MSCI World UCITS ETF,USD,13297.0,Ireland,"gettex, XETRA, London, SIX Swiss Exchange, Borsa Italiana, Euronext Amsterdam",ETF,0.12,SPPW,A2N6CW
IE00BHZPJ890,IE00BHZPJ890,iShares MSCI USA ESG Enhanced CTB UCITS ETF USD (Dist),USD,13265.0,Ireland,"gettex, XETRA, London, Stuttgart",ETF,0.07,OM3L,A2PDNU
IE00B3WJKG14,IE00B3WJKG14,iShares S&P 500 Information Technology Sector UCITS ETF USD (Acc),USD,12557.0,Ireland,"gettex, XETRA, London, Stuttgart, SIX Swiss Exchange",ETF,0.15,QDVE,A142N1
