isin,ticker,exchange,name,currency,ter
IE00BFY0GT14,SPPW,XETRA,SPDR MSCI World UCITS ETF,EUR,0.12
IE00BHZPJ890,OM3L,gettex,iShares MSCI USA ESG Enhanced CTB UCITS ETF USD (Dist),EUR,0.07
IE00BHZPJ890,EEDG,London Stock Exchange,iShares MSCI USA ESG Enhanced CTB UCITS ETF USD (Dist),GBP,0.07
IE00BHZPJ890,OM3L,Stuttgart Stock Exchange,iShares MSCI USA ESG Enhanced CTB UCITS ETF USD (Dist),EUR,0.07
IE00BHZPJ890,EEDS,London Stock Exchange,iShares MSCI USA ESG Enhanced CTB UCITS ETF USD (Dist),USD,0.07
IE00BHZPJ890,OM3L,XETRA,iShares MSCI USA ESG Enhanced CTB UCITS ETF USD (Dist),EUR,0.07
IE00B3WJKG14,IITU,London Stock Exchange,iShares S&P 500 Information Technology Sector UCITS ETF USD (Acc),GBX,0.15
IE00B3WJKG14,QDVE,gettex,iShares S&P 500 Information Technology Sector UCITS ETF USD (Acc),EUR,0.15
IE00B3WJKG14,QDVE,Stuttgart Stock Exchange,iShares S&P 500 Information Technology Sector UCITS ETF USD (Acc),EUR,0.15
IE00B3WJKG14,IUIT,London Stock Exchange,iShares S&P 500 Information Technology Sector UCITS ETF USD (Acc),USD,0.15
IE00B3WJKG14,IUIT,SIX Swiss Exchange,iShares S&P 500 Information Technology Sector UCITS ETF USD (Acc),USD,0.15
IE00B3WJKG14,QDVE,XETRA,iShares S&P 500 Information Technology Sector UCITS ETF USD (Acc),EUR,0.15
LU1135865084,SP5C,Borsa Italiana,Amundi Core S&P 500 Swap UCITS ETF Acc,EUR,0.05
LU1135865084,LYP7,gettex,Amundi Core S&P 500 Swap UCITS ETF Acc,EUR,0.05
LU1135865084,SP5C,Euronext Paris,Amundi Core S&P 500 Swap UCITS ETF Acc,EUR,0.05
LU1135865084,SP5C,London Stock Exchange,Amundi Core S&P 500 Swap UCITS ETF Acc,USD,0.05
LU1135865084,SP5L,London Stock Exchange,Amundi Core S&P 500 Swap UCITS ETF Acc,GBP,0.05
