isin,listing,trade_currency,ticker,reuters_ric,bloomberg,market_maker
FR0011550177,Euronext Paris,USD,ESD,ESD.PA ESDINAV=IHSM,ESD FP IESD,BNP PARIBAS ARBITRAGE SG SECURITIES (PARIS) SUSQUEHANNA SUSQUEHANNA INTERNATIONAL SECURITIES
FR0011550177,SIX Swiss Exchange,USD,ESD,ESD.S ESDINAV=IHSM,ESD SE IESD,BNP PARIBAS ARBITRAGE SG SECURITIES (PARIS) SUSQUEHANNA SUSQUEHANNA INTERNATIONAL SECURITIES
FR0011550177,XETRA,USD,ESAP,ESAP.DE ESDINAV=IHSM,ESAP GY IESD,BNP PARIBAS ARBITRAGE SG SECURITIES (PARIS) SUSQUEHANNA SUSQUEHANNA INTERNATIONAL SECURITIES
IE00BF11F565,Borsa Italiana,EUR,IEAA,- -,- -,-
IE00BF11F565,gettex,EUR,IUSG,- -,- -,-
IE00BF11F565,London Stock Exchange,EUR,IEAA,IEAA.L DTB6INAV.DE,IEAA LN INAVIEAE,
IE00BF11F565,SIX Swiss Exchange,EUR,IEAA,IEAA.S,IEAA SE,
IE00BF11F565,XETRA,EUR,-,,IUSG GY,
IE0002Y8CX98,gettex,EUR,EUDF,- -,- -,-
IE0002Y8CX98,Borsa Italiana,EUR,WDEF,WDEF.MI,WDEF IM,ABN AMRO Clearing Bank N.V. Banca Sella BNP Paribas Cantor Fitzgerald Europe Citadel Secruties (Europe) Limited Citigroup Global Markets Limited DRW Global Markets Ltd / Investments Flow Traders Goldenberg Hehmeyer LLP Goldman Sachs International Jane Street Financial Ltd Merrill Lynch International Morgan Stanley Old Mission Europe LLP Optiver VOF RBC Europe Limited Societe Generale SA Susquehanna International Securities LimitedUniCredit Bank AG Virtu Financial
IE0002Y8CX98,Euronext Paris,EUR,WDEF,WDEF.PA,WDEF FP,ABN AMRO Clearing Bank N.V. Banca Sella BNP Paribas Cantor Fitzgerald Europe Citadel Secruties (Europe) Limited Citigroup Global Markets Limited DRW Global Markets Ltd / Investments Flow Traders Goldenberg Hehmeyer LLP Goldman Sachs International Jane Street Financial Ltd Merrill Lynch International Morgan Stanley Old Mission Europe LLP Optiver VOF RBC Europe Limited Societe Generale SA Susquehanna International Securities LimitedUniCredit Bank AG Virtu Financial
IE0002Y8CX98,London Stock Exchange,GBX,WDEP,WDEP.L,WDEP LN,ABN AMRO Clearing Bank N.V. Banca Sella BNP Paribas Cantor Fitzgerald Europe Citadel Secruties (Europe) Limited Citigroup Global Markets Limited DRW Global Markets Ltd / Investments Flow Traders Goldenberg Hehmeyer LLP Goldman Sachs International Jane Street Financial Ltd Merrill Lynch International Morgan Stanley Old Mission Europe LLP Optiver VOF RBC Europe Limited Societe Generale SA Susquehanna International Securities LimitedUniCredit Bank AG Virtu Financial
IE0002Y8CX98,London Stock Exchange,EUR,WDEF,WDEF.L,WDEF LN,ABN AMRO Clearing Bank N.V. Banca Sella BNP Paribas Cantor Fitzgerald Europe Citadel Secruties (Europe) Limited Citigroup Global Markets Limited DRW Global Markets Ltd / Investments Flow Traders Goldenberg Hehmeyer LLP Goldman Sachs International Jane Street Financial Ltd Merrill Lynch International Morgan Stanley Old Mission Europe LLP Optiver VOF RBC Europe Limited Societe Generale SA Susquehanna International Securities LimitedUniCredit Bank AG Virtu Financial
